epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,39451.6,1.30769,0.93571,0.0088,0.68966,0.60028,0.64883,0.36224,1.62439,1.42442,0.01465,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
33,40666.9,1.28704,0.91776,0.00865,0.69701,0.596,0.64702,0.36182,1.62903,1.43373,0.0147,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
34,41881.5,1.26024,0.88585,0.00841,0.69619,0.59291,0.64649,0.36136,1.63361,1.44566,0.01476,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
35,43097.5,1.23809,0.86265,0.0082,0.69511,0.59212,0.6451,0.36071,1.63748,1.45961,0.01481,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
36,44315,1.21604,0.83889,0.00802,0.69546,0.59324,0.64378,0.36068,1.6407,1.47506,0.01484,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
37,45531.6,1.19087,0.80606,0.00782,0.7012,0.59,0.64271,0.3594,1.64683,1.49421,0.01492,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
38,46747.1,1.17115,0.79128,0.00767,0.70179,0.58858,0.64173,0.35905,1.6502,1.51367,0.01497,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
39,47964.4,1.14247,0.76118,0.00742,0.69682,0.58817,0.64032,0.35839,1.65421,1.53519,0.01502,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
40,49180.3,1.11661,0.73894,0.00723,0.70691,0.58399,0.63885,0.35772,1.66033,1.5548,0.01509,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
41,50392.1,1.03615,0.53535,0.00762,0.70192,0.58654,0.63772,0.35734,1.66758,1.58059,0.01516,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
42,51602.4,0.99619,0.50589,0.00724,0.69807,0.58391,0.63502,0.35576,1.6721,1.61172,0.01522,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
43,52812.2,0.95481,0.47685,0.00684,0.70709,0.57543,0.63419,0.35566,1.6812,1.63798,0.01532,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
44,54022,0.92273,0.45043,0.00655,0.70665,0.57339,0.63277,0.35468,1.6897,1.6681,0.01544,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
45,55233.2,0.88955,0.42932,0.00624,0.70386,0.57245,0.63113,0.35402,1.69817,1.70107,0.01554,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
46,56443.9,0.85291,0.4071,0.00594,0.69633,0.57385,0.62722,0.35302,1.70536,1.73251,0.01564,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
47,57652.4,0.82068,0.39186,0.00564,0.70611,0.56619,0.62692,0.35303,1.71364,1.76354,0.01574,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
48,58862.5,0.79257,0.37579,0.00544,0.73123,0.5513,0.62534,0.35195,1.72104,1.80008,0.01582,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
49,60073.1,0.76886,0.36284,0.00521,0.72668,0.55178,0.62286,0.35097,1.72832,1.83457,0.01593,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
50,61283.3,0.73965,0.34605,0.00499,0.72557,0.55265,0.62127,0.35023,1.73766,1.86504,0.01604,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
